nomem_encr;nohouse_encr;wave;geslacht;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
800009;559835;202201;1;1;1955;66;7;66;2;0;1;1;2;1;5;11;-13;4204,69957223296;3100;3100;3100;13;7;5105,60846027652;3800;5;5;5;1;7;0;0
800015;568664;202201;1;1;1962;59;6;59;3;1;1;1;3;1;1;1;4519;4519;2991;2991;2991;10;6;5491,65915636499;3741;6;6;6;1;3;102;0
800041;554273;202201;1;5;1997;24;2;44;5;3;1;5;3;1;5;1;-13;2536,36320561483;1750;-13;1750;13;4;7996,27402661866;5500;5;5;5;0;9; ;0
800057;580532;202201;1;3;1975;47;5;46;5;3;1;5;3;1;1;1;8000;8000;4250;-13;4250;12;9;16500;8500;6;6;6;1;2;0;0
800058;580573;202201;2;1;1997;24;2;24;1;0;0;5;1;2;1;7;550;550;750;-13;750;2;2;550;750;6;5;5;1;9;0;0
800085;545773;202201;1;1;1977;45;5;45;1;0;0;5;1;1;5;1;3330;3330;2250;-13;2250;7;5;3330;2250;5;4;4;1;7;0;0
800091;515359;202201;1;1;1983;38;4;38;2;0;1;5;2;1;4;1;2300;2300;1850;1850;1850;5;4;7236;4800;4;4;4;0;99; ;0
800100;518099;202201;2;2;1990;31;3;36;3;1;1;1;3;2;1;1;2000;2000;1800;1800;1800;4;4;3845;3330;4;4;4;1;7;102;0
800106;577294;202201;1;5;2008;13;1;54;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;7772;5400;1;8;1;1;2; ;0
800119;537783;202201;2;1;1950;71;7;71;4;2;1;1;3;2;3;9;-13;548,547961669689;500;500;500;13;1; ; ;2;2;2;1;2;101;0
800126;587801;202201;1;1;1966;55;6;55;3;1;1;1;3;1;1;2;-13; ;-14;-13; ;13;14; ; ;6;6;6;0;9; ;0
800127;526726;202201;2;1;1983;38;4;38;1;0;0;3;1;1;1;1;2800;2800;2100;2100;2100;6;5;2800;2100;5;4;4;1;9;0;0
800128;596466;202201;2;6;1996;25;3;33;3;0;1;5;2;2;3;12;-13;1161,99328953552;900;900;900;13;2;6255,94314409638;4750;2;2;2;1;8;0;0
800131;537240;202201;2;1;1954;67;7;67;2;0;1;1;2;1;5;9;-13; ;-14;-13; ;13;14; ; ;4;4;4;1;3;0;0
800161;561404;202201;1;1;1970;51;5;51;3;1;1;3;3;1;4;3;-13;8612,54449302464;5000;5000;5000;13;10;11571,127273692;7000;5;5;5;1;2;0;1
800170;520571;202201;2;1;1958;63;6;63;2;1;0;3;4;1;2;1;2903;2903;2300;2300;2300;6;5;4703;3600;4;4;4;1;2;0;0
800186;534976;202201;2;1;1939;82;7;82;2;0;0;4;5;1;3;8;-13;2185,64654402031;1750;-13;1750;13;4;4227,64654402031;3500;2;2;2;1;2;0;0
800192;531591;202201;2;5;2003;18;2;51;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;8365,44270243862;5350;4;2;2;0;2;0;0
800201;529760;202201;1;2;1973;48;5;48;2;0;1;1;2;2;4;1;2200;2200;1900;1900;1900;5;4;4600;3850;4;4;4;1;2;0;0
800204;555221;202201;1;1;1942;80;7;80;2;0;1;1;2;1;2;9;1973;1973;1559;1559;1559;4;4;2784;2273;2;2;2;1;2; ;0
800213;560256;202201;1;9;1917;104;7;79;3;0;1;4;2;1;5;9;0;0;0;0;0;0;0;8200;5850;3;3;3;0;3; ;0
800215;594257;202201;2;1;1992;29;3;29;2;0;1;5;2;2;1;1;3800;3800;2700;2700;2700;8;6;10200;6950;5;5;5;1;9;0;0
800216;598019;202201;1;1;1958;64;6;64;2;0;1;1;2;1;5;10;3407;3407;2200;2200;2200;7;5;6957;4600;4;4;4;1;8;0;0
800228;568560;202201;1;1;1952;69;7;69;2;0;1;1;2;1;2;9;4800;4800;3000;3000;3000;10;6;6934,85999118978;4540;6;6;6;1;2;0;0
800239;551681;202201;1;5;2004;17;2;47;4;3;0;5;4;1;2;7;-13;286,992040080165;250;-13;250;13;1;3056,99204008017;2430;3;1;1;1;9;0;0
800274;523678;202201;2;2;1980;42;4;47;3;1;1;1;3;1;5;1;-13;3478,94341065557;2300;2300;2300;13;5;7184,94932316402;4800;4;4;4;1;6;0;0
800289;539959;202201;2;2;1953;68;7;68;2;0;1;1;2;1;4;9;-13;1807,53890899074;1500;1500;1500;13;3;3644,33281153857;3000;2;2;2;1;3;0;0
800309;573933;202201;1;3;1981;40;4;42;6;4;1;5;3;2;3;5;0;0;0;0;0;0;0;2050;2050;2;1;1;0;9; ;0
800329;596481;202201;1;1;1957;64;6;64;2;0;1;1;2;1;3;9;-13;3358,78097594157;2250;-13;2250;13;5;5565,43729471587;3800;5;5;5;0;1; ;0
800360;547378;202201;1;1;1952;69;7;69;2;0;1;1;2;1;2;9;-13;2615,62328486161;2050;2050;2050;13;5;3829,34836082288;3100;5;5;5;1;2;0;0
800372;590005;202201;1;1;1990;31;3;31;1;0;0;3;1;2;4;1;-13; ;-14;-13; ;13;14; ; ;5;4;4;1;99;0;0
800392;519542;202201;1;1;1962;59;6;59;3;1;1;1;3;1;5;4;3255;3255;2153;2153;2153;7;5;5955;4053;4;4;4;1;9;0;0
800394;599529;202201;1;5;1989;32;3;70;3;1;1;5;3;1;1;1;-13;2536,36320561483;1750;-13;1750;13;4;6736,36320561483;5221;2;2;2;0;9; ;0
800405;528805;202201;1;5;1995;26;3;58;3;1;1;5;3;1;4;7;0;0;0;0;0;0;0;5900;3700;3;3;3;0;2; ;0
800424;504037;202201;2;2;1958;63;6;68;2;0;1;1;2;1;3;8;0;0;0;0;0;0;0;4840,20548426273;3500;3;3;3;0;2;0;0
800438;511346;202201;2;2;1955;66;7;64;2;0;1;1;2;1;3;9;-13;2635,55043218916;2093;2093;2093;13;5;7635,55043218916;4608;5;5;5;0;9;201;0
800440;500761;202201;2;5;1988;33;3;59;4;2;1;5;3;1;5;3;4500;4500;3400;3400;3400;9;7;24678,3329015292;17150;5;5;5;1;99;0;0
800445;528967;202201;2;1;1976;45;5;45;4;2;1;1;3;1;5;1;-13; ;-14;-13; ;13;14; ; ;4;4;4;1;6;0;0
800463;598452;202201;1;1;1990;31;3;31;1;0;0;5;1;4;3;1;2628;2628;2189;2189;2189;6;5;2628;2189;5;4;4;1;7;101;0
800481;511528;202201;2;5;2020;1;1;35;4;2;1;5;3;1;3;14;0;0;0;0;0;0;0;6942;5081;9;9; ;1;9; ;0
800497;542214;202201;2;2;1943;78;7;78;2;0;1;1;2;1;5;8;-13;899,308248035832;800;800;800;13;2;2599,30824803583;2200;3;3;3;1;2;0;0
800500;564401;202201;1;1;1952;69;7;69;2;0;1;1;2;2;4;10;1520;1520;1294;1294;1294;4;3;2336;2044;2;1;1;1;99;0;0
800543;582388;202201;1;5;1999;22;2;63;4;2;1;5;3;1;4;1;2400;2400;2000;2000;2000;5;4;9975;7950;3;3;3;0;1;0;0
800555;520098;202201;2;5;2013;8;1;42;3;2;0;5;4;1;5;14;0;0;0;0;0;0;0;4250;2600;9;9; ;1;7; ;0
800558;503402;202201;2;2;1953;68;7;73;2;0;1;1;2;1;3;9;-13;837,94627049917;750;-13;750;13;2;2737,94627049917;2250;2;2;2;0;2; ;0
800561;538217;202201;2;3;1989;32;3;39;2;0;1;5;2;1;2;1;3043;3043;2166;2166;2166;7;5;5543;4166;5;5;5;1;99;0;0
800570;548394;202201;1;1;1977;44;4;44;4;2;1;1;3;1;4;1;5000;5000;2750;2750;2750;10;6;5500;3250;5;5;5;1;7;0;0
800576;526409;202201;1;1;1938;83;7;83;2;0;1;1;2;1;3;9;-13;3585,07049368632;2700;2700;2700;13;6;6814,41925409864;5200;5;5;5;0;3;0;0
800585;502426;202201;2;1;1964;57;6;57;2;1;0;5;4;1;3;3;-13; ;-13;-13; ;13;13; ; ;7;7;1;0;2;0;0
800589;571208;202201;1;5;2006;15;2;56;4;2;1;5;3;1;4;7;0;0;0;0;0;0;0;4700;3800;2;1;1;0;9; ;0
800633;530682;202201;2;5;2021;0;1;45;7;5;1;5;3;1;5;14;0;0;0;0;0;0;0;7727;5188;9;9; ;1;9; ;0
800651;543468;202201;1;1;1990;31;3;31;6;0;0;5;5;1;1;1;-13;4354,47730883071;2750;-13;2750;13;6;11884,4207647945;8450;6;6;6;0;9; ;0
800659;537734;202201;1;1;1940;82;7;82;2;0;1;1;2;1;5;9;2400;2400;2000;2000;2000;5;4;3250;2800;3;3;3;1;1;0;0
800671;568484;202201;1;1;1952;69;7;69;2;0;1;1;2;1;4;9;-13;2834,93153313308;2200;2200;2200;13;5;3821,03121813223;3070;4;4;4;1;2;0;0
800674;556823;202201;1;1;1956;65;7;65;2;0;0;2;5;1;2;1;-13;3212,9858010264;2400;2400;2400;13;5;5930,52330650247;4550;6;5;5;1;2; ;0
800677;529798;202201;1;1;1997;24;2;24;1;0;0;5;1;2;1;7;1200;1200;1200;1200;1200;3;3;1200;1200;6;6;6;1;99;0;0
800695;545089;202201;2;1;1941;80;7;80;1;0;0;4;1;2;2;9;-13;1781,83084136475;1460;1460;1460;13;3;1781,83084136475;1460;2;2;2;1;2;0;1
800701;596902;202201;2;2;1979;42;4;49;2;0;1;1;2;1;2;1;6280;6280;4048;4048;4048;11;9;12553,6079254912;7798;6;6;6;1;6;0;0
800714;530316;202201;2;1;1979;42;4;42;1;0;0;5;1;1;4;1;4600;4600;3000;3000;3000;10;6;4600;3000;5;5;5;1;8;0;0
800722;582529;202201;1;1;1984;38;4;38;2;0;1;5;2;2;2;1;1950;1950;1750;1750;1750;4;4;3795;3337;2;2;2;0;9; ;0
800750;536340;202201;2;2;1962;59;6;62;3;1;1;1;3;1;5;1;2600;2600;2200;2200;2200;6;5;11672,8139404017;8750;6;6;6;1;2;0;0
800762;500531;202201;2;2;1971;51;5;52;5;3;1;1;3;1;4;1;1600;1600;1350;1350;1350;4;3;9750;6350;5;5;5;1;2;0;0
800771;553328;202201;2;1;1969;52;5;52;2;0;1;3;2;2;2;1;4500;4500;3000;3000;3000;9;6;7500;6000;5;5;5;1;9;0;0
800775;542581;202201;1;1;1969;52;5;52;5;3;1;4;3;1;5;1;4953;4953;2900;2900;2900;10;6;7984;5256;6;6;6;1;6;0;0
800778;511151;202201;2;1;1960;61;6;61;1;0;0;3;1;2;5;1;1897;1897;1750;-13;1750;4;4;1897;1750;5;5;5;1;6;0;0
800840;515943;202201;2;2;1959;62;6;67;2;0;1;1;2;2;4;8;0;0;0;0;0;0;0;2300;1621;2;2;2;0;9; ;0
800845;501074;202201;1;5;2011;10;1;42;7;5;1;5;3;1;2;7;0;0;0;0;0;0;0;5000;3015;1;8;1;1;3; ;0
800848;509775;202201;1;1;1986;35;4;35;1;0;0;5;1;9;5;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;99;0;0
800859;550374;202201;1;1;1990;31;3;31;2;0;1;5;2;1;4;1;5000;5000;3700;3700;3700;10;8;9200;6700;6;6;6;1;9;0;0
800869;587496;202201;1;1;1955;66;7;66;2;0;1;1;2;1;3;9;-13; ;-13;-13; ;13;13; ; ;2;2;2;1;2;0;0
800881;543600;202201;1;1;1940;82;7;82;1;0;0;2;1;2;5;9;-13;2427,84679427187;1920;1920;1920;13;4;2427,84679427187;1920;2;2;2;1;2;0;0
800894;547476;202201;2;1;1948;73;7;73;1;0;0;4;1;2;3;9;1200;1200;1000;1000;1000;3;2;1200;1000;2;2;2;1;2;102;1
800900;539182;202201;2;1;1995;26;3;26;1;0;0;5;1;9;1;1;-13;2577,4142108627;1750;-13;1750;13;4;2577,4142108627;1750;5;5;5;1;99;0;0
800903;594616;202201;1;1;1971;50;5;50;5;3;1;1;3;1;1;1;4590;4590;2800;2800;2800;10;6;4590;2800;5;5;5;1;2;0;0
800909;512649;202201;2;2;1978;43;4;43;4;2;1;1;3;1;5;1;2475;2475;2168;2168;2168;5;5;9675;6418;5;5;5;1;1;0;0
800915;513195;202201;1;5;2016;5;1;43;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;7700;5200;1;8;1;1;6; ;0
800918;541351;202201;2;2;1954;67;7;68;2;0;1;1;2;2;3;8;-13;1023,6016321926;900;900;900;13;2;3858,53316532568;3100;2;2;2;1;2;0;0
800930;575732;202201;1;5;1992;29;3;58;4;2;1;5;3;1;4;1;-13; ;-14;-13; ;13;14; ; ;5;3;3;1;2;0;0
800985;521520;202201;1;5;2005;16;2;48;5;3;1;5;3;1;5;7;0;0;0;0;0;0;0;5658,78097594157;4150;3;1;1;1;6;0;0
800988;515182;202201;2;1;1968;53;5;53;3;2;0;3;4;1;5;10;-13;1632,9036937562;1200;1200;1200;13;3;1632,9036937562;1200;4;4;4;1;7;201;0
800994;579544;202201;1;1;1950;71;7;71;1;0;0;3;1;1;5;9;-13;2399,15237840235;1900;1900;1900;13;4;2399,15237840235;1900;4;4;4;1;2;0;0
801000;581948;202201;2;5;2005;16;2;45;3;2;0;5;4;1;2;7;0;0;0;0;0;0;0;2000;1700;3;1;1;1;7;0;0
801004;512380;202201;1;1;1961;60;6;60;1;0;0;3;1;1;4;1;3680;3680;2700;2700;2700;8;6;3680;2700;2;2;2;1;2;0;0
801022;573114;202201;1;1;1947;74;7;74;2;0;1;1;2;1;4;9;-13;2185,64654402031;1750;-13;1750;13;4;3285,64654402031;2500;4;4;4;0;1;0;0
801031;583963;202201;1;1;1972;49;5;49;4;2;1;1;3;1;3;1;-13;5782,02352430825;3500;3500;3500;13;7;10889,7810232156;7190;4;4;4;1;2;0;0
801055;515383;202201;2;3;1963;58;6;53;2;0;1;5;2;1;1;3;-13;4625,03836967928;3000;3000;3000;13;6;9827,26814100836;6200;4;4;4;1;2;201;0
801068;502505;202201;2;2;1976;45;5;47;4;2;1;1;3;1;4;1;-13;1703,30864285546;1235;1235;1235;13;3;5417,99642093725;3635;5;5;5;1;2;0;0
801086;599945;202201;2;5;2010;11;1;42;4;2;1;5;3;1;2;7;-13; ; ;-13; ;13; ; ; ;9;9; ;1;3; ;0
801089;577102;202201;2;2;1971;50;5;53;2;0;1;1;2;1;5;8;0;0;0;0;0;0;0;7250;3850;3;3;3;0;2;0;0
801092;538812;202201;1;5;2008;13;1;42;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;5931,41146508479;3974;3;8;1;1;8; ;0
801107;554714;202201;1;5;2010;11;1;38;5;3;1;5;3;1;3;7;0;0;0;0;0;0;0;7800;4700;1;8;1;1;3; ;0
801132;565264;202201;2;2;1954;67;7;69;2;0;1;1;2;2;5;9;-13;1149,87873096375;1000;1000;1000;13;2;2580,61249926903;2200;4;4;4;1;6;0;0
801141;546813;202201;2;1;1940;81;7;81;2;0;0;4;5;2;3;9;-13;1929,39620945854;1567;1567;1567;13;4;3028,53370716194;2527;2;2;2;1;2;0;0
801144;592770;202201;1;1;1967;54;5;54;1;0;0;5;1;1;2;1;5297;5297;3394;3394;3394;11;7;5297;3394;6;6;6;1;2;102;0
801165;519534;202201;2;1;1942;79;7;79;1;0;0;4;1;2;1;9;-13;1631,95893885335;1350;1350;1350;13;3;1631,95893885335;1350;3;3;3;1;3;0;0
801167;562526;202201;2;1;1982;39;4;39;3;2;0;5;4;1;3;1;2795;2795;2150;2150;2150;6;5;2795;2150;5;4;4;1;9;202;0
801174;526055;202201;2;1;1950;71;7;71;2;0;1;4;2;1;3;9;-13;1975,25019170382;1600;1600;1600;13;4;3305,0366503397;2740;2;2;2;1;2;0;0
801187;573757;202201;1;5;2008;13;1;48;5;3;1;5;3;1;5;7;-13;0;0;0;0;13;0;4614,20582995053;3200;9;9; ;1;2; ;0
801205;575360;202201;1;1;1955;66;7;66;2;0;1;1;2;1;1;9;5000;5000;3000;3000;3000;10;6;7000;4000;6;6;6;1;7;101;0
801211;548083;202201;1;1;1977;44;4;44;4;2;1;1;3;1;1;1;2752;2752;2200;2200;2200;6;5;4730;4000;5;4;4;1;7;102;0
801214;560919;202201;1;1;1959;62;6;62;2;0;1;1;2;1;3;1;5000;5000;3300;3300;3300;10;7;5280;3560;5;5;5;1;8;0;0
801229;559695;202201;1;1;1957;64;6;64;3;1;1;1;3;1;3;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;2;0;0
801245;533007;202201;1;5;1999;22;2;56;5;3;1;5;3;1;4;7;0;0;0;0;0;0;0;4628,07765797896;3000;6;3;3;1;6;0;0
801257;552076;202201;2;1;1992;29;3;29;2;1;0;3;4;2;1;1;-13;3446,11391341185;2250;-13;2250;13;5;3446,11391341185;2250;4;4;4;1;99;0;0
801261;518530;202201;1;5;2018;3;1;29;4;2;1;5;3;1;1;14;0;0;0;0;0;0;0;5422;4300;9;9; ;1;99; ;0
801266;556906;202201;2;5;1991;30;3;59;4;2;1;1;3;1;4;1;-13; ;-13;-13; ;13;13; ; ;5;5;5;0;2;0;0
801272;506631;202201;2;2;1971;50;5;54;3;1;1;1;3;1;3;8;1200;1200;1050;1050;1050;3;3;11100;6650;2;2;2;1;7;0;0
801278;539883;202201;1;1;1947;75;7;75;2;0;1;1;2;1;1;8;1279;1279;1107;1107;1107;3;3;2524;2217;2;2;2;1;9;102;0
801287;581710;202201;2;1;1956;66;7;66;2;0;0;4;5;1;5;1;4500;4500;3200;3200;3200;9;7;4500;3200;3;3;3;1;2;0;0
801300;502993;202201;1;1;1969;52;5;52;4;2;1;1;3;1;4;1;14000;14000;8000;8000;8000;12;12;14475,3475131364;8400;6;6;6;1;2;0;0
801330;549951;202201;2;2;1942;79;7;81;2;0;1;1;2;2;2;9;1300;1300;1180;1180;1180;3;3;4000;3280;4;4;4;1;6;0;0
801361;508010;202201;2;1;1972;49;5;49;5;3;1;1;3;1;5;1;3000;3000;1700;1700;1700;6;4;6500;3500;5;5;5;1;7;0;0
801372;596226;202201;1;1;1988;33;3;33;2;0;1;5;2;1;4;1;4100;4100;2700;2700;2700;9;6;7491,22694966811;4950;6;5;5;1;9;0;0
801388;557397;202201;2;5;1996;25;3;50;6;4;1;5;3;1;5;7;-13;948,009599380784;750;-13;750;13;2; ; ;6;5;5;0;2;0;0
801409;515118;202201;2;2;1957;64;6;65;2;0;1;1;2;1;2;3;2000;2000;1250;-13;1250;4;3;6000;3500;2;2;2;0;8; ;0
801412;552243;202201;2;2;1966;55;6;58;3;1;1;1;3;1;5;1;2983;2983;2161;2161;2161;6;5;12473;8302;5;5;5;1;2;0;0
801428;575070;202201;1;1;1963;58;6;58;4;2;1;1;3;1;5;1;-13;6174,69516637107;3700;3700;3700;13;8; ; ;6;3;3;0;2;0;0
801452;505813;202201;1;5;1993;28;3;63;3;1;1;5;3;1;3;1;-13; ;-13;-13; ;13;13; ; ;5;5;5;1;2;0;0
801464;509661;202201;1;1;1960;61;6;61;3;1;1;1;3;1;5;1;-13; ;-14;-13; ;13;14; ; ;2;2;2;0;8; ;0
801467;534283;202201;1;1;1948;73;7;73;1;0;0;1;1;1;5;9;4000;4000;2500;2500;2500;8;5;4000;2500;4;4;4;1;6;0;0
801470;523336;202201;2;1;1969;52;5;52;4;2;1;1;3;1;2;1;5112;5112;3000;3000;3000;11;6; ; ;6;6;6;1;1;0;0
801477;575454;202201;2;5;2003;18;2;46;6;4;1;5;3;1;2;7;0;0;-13;-13;0;0;13;6800;4000;5;3;3;0;8;0;0
801480;504763;202201;2;2;1967;54;5;51;5;3;1;1;3;1;2;1;2375;2375;1505;1505;1505;5;4;6575;4305;3;3;3;1;3;0;0
801486;508370;202201;2;2;1973;48;5;49;4;2;1;1;3;1;3;1;-13;3082,14853898983;2072;2072;2072;13;5; ; ;4;4;4;1;2;0;0
801498;540438;202201;1;1;1947;74;7;74;3;1;1;1;3;1;4;9;-13;2543,1450561878;2000;2000;2000;13;4;5957,58591978158;4450;4;4;4;1;1;0;0
801542;562148;202201;1;1;1992;29;3;29;1;0;0;5;1;1;5;1;-13;3357,37289363118;2200;2200;2200;13;5;3357,37289363118;2200;4;4;4;1;9;0;0
801547;526760;202201;1;5;2006;15;2;52;5;3;1;5;3;1;5;7;-13;44,0979447062928;40;40;40;13;1;5153,18827993346;3290;2;1;1;1;2; ;0
801550;559347;202201;1;1;1974;47;5;47;5;3;1;1;3;1;3;10;1900;1900;1500;1500;1500;4;3;7650;5950;4;4;4;1;3; ;0
801556;581317;202201;1;1;1933;88;7;88;2;0;1;1;2;1;2;8;-13;961,613879339311;838;838;838;13;2;1907,91193701487;1676;1;1;1;1;2;0;1
801559;591995;202201;2;2;1970;51;5;51;3;1;1;1;3;1;2;8;0;0;0;0;0;0;0;4408;3250;4;4;4;1;7;0;0
801568;518542;202201;1;1;1955;66;7;66;2;0;1;1;2;1;1;1;6000;6000;4000;4000;4000;11;8;7400;5200;6;6;6;1;7;0;0
801570;526616;202201;1;1;1989;32;3;32;1;0;0;5;1;2;1;1;2790;2790;2172;2172;2172;6;5;2790;2172;5;4;4;1;9;0;0
801574;512081;202201;2;5;1983;39;4;75;3;1;1;5;3;1;4;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;2;0;0
801577;543927;202201;1;1;1970;51;5;51;4;2;1;1;3;1;4;1;-13;3006,46740420496;2000;2000;2000;13;4;10776,3799699924;7085;2;2;2;1;2;0;0
801580;525558;202201;1;5;1992;29;3;66;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;4616;3266;3;8;1;0;2; ;0
801583;540960;202201;1;9;1977;44;4;78;3;0;1;5;2;1;5;13;-13;0;0;0;0;13;0;3131,56089891801;2400;2;1;1;0;2; ;0
801589;576620;202201;2;2;1981;41;4;46;2;0;1;1;2;1;5;1;2025;2025;1673;1673;1673;5;4;7125;5173;5;5;5;1;99;0;0
801599;598077;202201;1;1;1950;71;7;71;1;0;0;4;1;1;2;8;2700;2700;2100;2100;2100;6;5;2700;2100;6;6;6;1;2;201;1
801600;562427;202201;2;5;2012;9;1;40;5;3;1;5;3;1;3;7;0;0;0;0;0;0;0;6021,06363733964;4000;1;8;1;1;9; ;0
801602;556625;202201;2;2;1959;62;6;65;2;0;1;1;2;1;4;10;-13;0;0;0;0;13;0;3357,06607244988;2550;2;2;2;1;8;0;0
801626;573596;202201;1;1;1982;39;4;39;1;0;0;5;1;1;2;1;3656;3656;2574;2574;2574;8;6;3656;2574;4;4;4;1;8;0;0
801635;557211;202201;2;2;1970;51;5;54;5;3;1;1;3;1;5;10;1000;1000;750;750;750;2;2;5000;3500;5;5;5;1;2;0;0
801651;523336;202201;1;2;1967;54;5;52;4;2;1;1;3;1;2;3;-13; ;-13;-13; ;13;13; ; ;2;2;2;0;1; ;0
801657;527453;202201;1;9;1949;72;7;69;2;0;0;1;5;1;5;13;-13;0;0;0;0;13;0;2543,1450561878;2000;7;7;1;0;2;0;0
801675;505215;202201;2;5;2016;5;1;42;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;6829,88799766263;4480;1;8;1;1;2; ;0
801683;589978;202201;2;2;1987;35;4;35;2;0;1;1;2;2;1;1;-13;3391,22694966811;2250;-13;2250;13;5;6837,34086307996;4500;5;5;5;1;9;201;0
801685;565316;202201;1;9;1994;27;3; ;2;0;0;5;5;2;2;7;-13;1018,65623419672;800;800;800;13;2;2908,65623419672;2500;6;3;3;0;8;0;0
801715;523165;202201;1;1;1978;43;4;43;4;2;1;1;3;1;5;1;-13;3006,46740420496;2000;2000;2000;13;4;5542,83060981979;3750;5;4;4;0;8;102;0
801730;584841;202201;2;5;2009;12;1;48;5;3;1;5;3;1;5;7;0;0;0;0;0;0;0;6200;4300;3;1;1;1;7; ;0
801736;546362;202201;2;2;1958;63;6;64;2;0;1;1;2;1;3;1;3200;3200;2500;2500;2500;7;5;6200;4700;6;6;6;0;1;0;0
801748;555355;202201;2;1;1967;55;6;55;3;2;0;3;4;1;5;1;2171;2171;1853;1853;1853;5;4;2171;1853;5;5;5;1;2;0;0
801763;524774;202201;2;3;1986;35;4;36;4;2;1;5;3;1;5;1;3700;3700;2480;2480;2480;8;5;10200;6480;5;5;5;1;99;0;0
801776;597207;202201;2;3;1974;47;5;49;4;2;1;5;3;1;5;1;967;967;774;774;774;2;2;3467;2674;5;4;4;1;2;0;0
801782;577378;202201;2;1;2000;21;2;21;1;0;0;5;1;2;3;1;-13;1754,75318166547;1250;-13;1250;13;3;1754,75318166547;1250;5;5;5;1;99; ;0
801809;579492;202201;2;1;1999;22;2;22;1;0;0;5;1;1; ;1;-13;2577,4142108627;1750;-13;1750;13;4;2577,4142108627;1750;5;4;4;1;99; ;0
801818;574169;202201;1;1;1986;35;4;35;4;2;1;1;3;1;3;1;2800;2800;2200;2200;2200;6;5;5500;4400;6;5;5;1;8;0;0
801821;511734;202201;2;5;2008;13;1;52;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0;5700;4200;3;1;1;1;2; ;0
801833;563940;202201;2;2;1975;46;5;48;3;1;1;1;3;1;4;3;1800;1800;1500;1500;1500;4;3;5300;4100;5;3;3;0;9; ;0
801836;584470;202201;1;1;1970;51;5;51;4;2;1;1;3;1;4;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;9;0;0
801837;502609;202201;1;1;1968;53;5;53;4;2;1;1;3;1;3;1;-13;3006,46740420496;2000;2000;2000;13;4;4745,95200254944;3350;2;2;2;0;8; ;0
801843;521655;202201;2;5;2009;12;1;45;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;2400;1900;9;9; ;1;2; ;0
801849;511874;202201;2;1;1956;65;7;65;4;2;0;4;4;1;2;8;-13;1430,73376830528;1200;1200;1200;13;3; ; ;2;2;2;1;6;201;0
801854;553279;202201;2;2;1966;55;6;52;5;3;1;1;3;2;4;13;-13;0;0;0;0;13;0;2385,28345322911;1875;9;9; ;0;9; ;0
801858;577789;202201;2;2;1960;61;6;63;3;1;1;1;3;1;1;8;0;0;0;0;0;0;0; ; ;2;1;1;1;2;0;0
801876;590731;202201;2;2;1968;53;5;62;2;0;1;1;2;1;2;1;1200;1200;800;800;800;3;2;3850;2720;2;2;2;1;2;0;0
801882;506878;202201;2;3;1964;57;6;59;3;1;1;3;3;1;5;1;1200;1200;900;900;900;3;2;4646,11391341185;3150;2;2;2;0;8; ;0
801909;569903;202201;2;5;2009;12;1;39;2;1;0;5;4;1;3;7;0;0;0;0;0;0;0;5000;3600;3;1;1;1;2; ;0
801914;569189;202201;2;2;1988;33;3;34;3;1;1;1;3;2;1;1;0;0;0;0;0;0;0;3300;2700;6;6;6;1;8;202;0
801918;503664;202201;2;1;1967;54;5;54;2;1;0;3;4;1;3;1;3293;3293;2597;2597;2597;7;6;3293;2597;5;5;5;1;9;102;0
801920;524588;202201;2;5;2007;14;1;47;5;3;1;5;3;1;4;7;-13;286,992040080165;250;-13;250;13;1;8013,79690759198;5900;3;8;1;1;1; ;0
801947;508148;202201;2;2;1978;43;4;49;5;3;1;1;3;2;5;8;900;900;750;-13;750;2;2;3519;2767;2;2;2;1;2;0;0
801953;589712;202201;2;2;1946;75;7;80;2;0;1;1;2;1;1;9;884;884;833;833;833;2;2;3084;2593;2;2;2;1;6;0;0
801956;539984;202201;2;5;2011;10;1;42;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;4598,67761611824;3600;1;8;1;1;99; ;0
801962;549050;202201;2;1;1970;51;5;51;6;4;1;1;3;1;2;3;-13;11262,3179518177;6250;-13;6250;13;11;17223,3055075734;10500;5;5;5;1;8;201;0
801980;539123;202201;2;5;2010;11;1;45;5;3;1;5;3;1;5;7;0;0;0;0;0;0;0;5178;4408;1;8;1;1;2; ;0
801986;541418;202201;2;5;2001;21;2;51;3;2;0;5;4;2;5;12;0;0;0;0;0;0;0;1189;1007;4;2;2;0;1;202;0
