nomem_encr;nohouse_encr;wave;geslacht;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
897854;500531;202201;1;1;1969;52;5;52;5;3;1;1;3;1;4;1;7500;7500;4350;4350;4350;11;9;9750;6350;6;5;5;1;2;201;0
897857;589712;202201;1;1;1941;80;7;80;2;0;1;1;2;1;1;9;2200;2200;1760;1760;1760;5;4;3084;2593;4;4;4;1;6;0;0
897877;511053;202201;1;7;2014;7;1;71;5;2;0;5;4;1;4;7;0;0;0;0;0;0;0;3552,14591725657;3144;9;9; ;1;8; ;0
897885;563546;202201;1;2;1965;56;6;78;2;0;1;1;2;2;4;3;0;0;0;0;0;0;0;8300;5000;5;5;5;1;2;102;1
897891;557839;202201;1;5;1999;22;2;59;3;1;1;5;3;1;2;1;2500;2500;2250;-13;2250;5;5;10187,4310606247;7418;5;5;5;0;8; ;0
897906;586831;202201;2;1;1956;65;7;65;1;0;0;3;1;1;2;1;2650;2650;1614;1614;1614;6;4;2650;1614;4;4;4;1;3;0;0
897918;500564;202201;2;5;1991;30;3;57;8;6;1;5;3;1;5;1;-13; ;-13;-13; ;13;13; ; ;4;4;4;0;2;0;0
897924;554254;202201;2;2;1987;34;3;36;4;2;1;1;3;1;1;8;-13; ;-14;-13; ;13;14; ; ;6;6;6;1;6;0;0
897952;540373;202201;2;1;1972;49;5;49;4;3;0;3;4;1;4;1;3200;3200;1900;1900;1900;7;4;3200;1900;7;7;1;1;99;202;0
897958;534185;202201;1;2;1970;51;5;54;4;2;1;1;3;1;5;8;-13;2717,73562253346;1900;1900;1900;13;4;4511,6969017358;3205;4;4;4;1;2;102;0
897961;543927;202201;2;2;1970;51;5;51;4;2;1;1;3;1;4;8;-13;93,562961307065;85;85;85;13;1;10776,3799699924;7085;2;2;2;1;2;0;0
897967;557427;202201;2;5;2000;21;2;54;3;1;1;5;3;1;3;7;1300;1300;1150;1150;1150;3;3;8070;6530;5;3;3;1;6; ;0
897973;505206;202201;1;1;1960;61;6;61;2;0;1;1;2;1;5;1;5263;5263;2750;2750;2750;11;6;6763;4039;6;5;5;1;8;0;0
897976;502481;202201;1;1;1955;66;7;66;2;0;1;1;2;1;2;3;-13;548,547961669689;500;500;500;13;1;2542,87915814352;2100;6;6;6;1;2;0;0
897978;541405;202201;1;7;1999;22;2;30;3;0;1;5;2;4;1;7;-13;286,992040080165;250;-13;250;13;1;865,621082648619;750;5;3;3;1;9;0;0
897982;501080;202201;2;2;1964;57;6;58;3;1;1;1;3;1;3;3;4000;4000;3000;3000;3000;8;6;12500;9200;5;5;5;1;6;0;0
