nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
800001;535121;202211;1;1;1;1961;61;6;61;2;0;1;5;2;1;4;4;-13;2247,01636189637;1588;1588;1588;13;4;3648,10832897175;2651;5;5;5;1;10;201;0
800002;521889;202211;1;1;1;1976;45;5;45;6;4;1;1;3;1;4;1;4250;4250;2700;2700;2700;9;6;6300;3960;4;4;4;1;10;0;0
800009;559835;202211;1;999;1;1955;67;7;67;2;0;1;1;2;1;5;1;-13;6487,19108758918;4400;4400;4400;13;9;8451,61333892468;5800;5;5;5;1;7;0;0
800015;568664;202211;1;999;1;1962;60;6;60;3;1;1;1;3;1;1;1;4519;4519;3100;3100;3100;10;7;4813,45422891305;3350;6;6;6;1;3;102;0
800028;542295;202211;1;1;1;1950;72;7;72;2;0;1;1;2;1;2;9;-13;3432,79404639575;2600;2600;2600;13;6;4582,6727773595;3600;6;3;3;1;10;0;0
800041;554273;202211;1;999;5;1997;24;2;45;5;3;1;5;3;1;5;1;-13;3391,22694966811;2250;-13;2250;13;5;9660,69610877495;6500;5;5;5;0;9; ;0
800057;580532;202211;1;999;3;1975;47;5;46;5;3;1;5;3;1;1;1;8000;8000;4250;-13;4250;12;9;16500;9000;6;6;6;1;2;0;0
800058;580573;202211;2;999;1;1997;25;3;25;1;0;0;5;1;2;1;7;700;700;750;-13;750;2;2;700;750;6;5;5;1;9;0;0
800085;545773;202211;1;999;1;1977;45;5;45;1;0;0;5;1;1;5;1;3360;3360;2250;-13;2250;7;5;3360;2250;5;4;4;1;7;0;0
800091;515359;202211;1;999;1;1983;39;4;39;2;0;1;5;2;1;4;1;2300;2300;1950;1950;1950;5;4;7236;4900;4;4;4;0;99; ;0
800100;518099;202211;2;999;2;1990;32;3;37;3;1;1;1;3;2;1;1;2000;2000;1800;1800;1800;4;4;3845;3330;4;4;4;1;7;102;0
800106;577294;202211;1;999;5;2008;14;1;55;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0;7772;5400;1;8;1;1;2; ;0
800119;537783;202211;2;999;1;1950;72;7;72;4;2;1;1;3;2;2;9;-13;548,547961669689;500;500;500;13;1; ; ;2;2;2;1;2;101;0
800126;587801;202211;1;999;1;1966;56;6;56;3;1;1;1;3;1;1;2;-13; ;-14;-13; ;13;14; ; ;6;6;6;0;9; ;0
800127;526726;202211;2;999;1;1983;39;4;39;1;0;0;3;1;1;1;1;-13;3446,11391341185;2250;-13;2250;13;5;3446,11391341185;2250;5;4;4;1;9;0;0
800128;596466;202211;2;999;1;1996;26;3;26;3;0;0;5;5;2;2;1;-13;1211,5025676706;900;900;900;13;2;6305,45242223146;4750;2;2;2;1;8;0;0
800131;537240;202211;2;999;1;1954;68;7;68;2;0;1;1;2;1;5;9;-13; ;-14;-13; ;13;14; ; ;4;4;4;1;3;0;0
800136;572724;202211;1;1;1;1962;60;6;60;4;2;1;1;3;1;2;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;10;0;0
800156;573442;202211;2;2;3;1974;48;5;56;5;3;1;3;3;1;2;1;-13;2288,37987804405;1600;1600;1600;13;4;12295,8031195977;8400;4;2;2;1;10;0;0
800161;561404;202211;1;999;1;1970;52;5;52;3;1;1;3;3;1;3;3;7000;7000;5000;5000;5000;11;10;9600;7000;5;5;5;1;2;0;1
800162;526501;202211;2;999;5;2011;11;1;39;3;2;0;5;4;2;2;7;0;0;0;0;0;0;0;2550;2053;1;8;1;1;10; ;0
800170;520571;202211;2;999;1;1958;64;6;64;2;1;0;3;4;1;3;1;3009;3009;2200;2200;2200;7;5;5309;4300;4;4;4;1;2;0;0
800182;560835;202211;2;2;3;1986;36;4;34;2;0;1;5;2;1;3;1;-13;2924,41146215708;1980;1980;1980;13;4; ; ;6;5;5;1;10;0;0
800186;534976;202211;2;999;1;1939;83;7;83;2;0;0;4;5;1;4;8;-13;2185,64654402031;1750;-13;1750;13;4;4227,64654402031;3500;2;2;2;1;2;0;0
800192;531591;202211;2;999;5;2003;19;2;51;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0;8365,44270243862;5350;4;2;2;0;2;0;0
800201;529760;202211;1;999;2;1973;49;5;49;2;0;1;1;2;2;4;1;2200;2200;1900;1900;1900;5;4;4600;3850;4;4;4;1;2;0;0
800204;555221;202211;1;999;1;1942;80;7;80;2;0;1;1;2;1;2;9;1973;1973;1559;1559;1559;4;4;2784;2273;2;2;2;1;2; ;0
800212;553187;202211;2;2;1;1994;28;3;28;1;0;0;1;1;1;4;1;-13;1754,75318166547;1250;-13;1250;13;3;1754,75318166547;1250;5;5;5;1;10;0;0
800213;560256;202211;1;999;9;1917;105;7;79;3;0;1;4;2;1;5;9;0;0;0;0;0;0;0;8200;5850;3;3;3;0;3; ;0
800215;594257;202211;2;999;1;1992;30;3;30;2;0;1;1;2;2;1;1;5600;5600;3600;3600;3600;11;8;12000;7700;5;5;5;1;9;0;0
800216;598019;202211;1;999;1;1958;64;6;64;2;0;1;1;2;1;5;10;3500;3500;2315;2315;2315;7;5;7125;4790;4;4;4;1;8;0;0
800228;568560;202211;1;999;1;1952;70;7;70;2;0;1;1;2;1;3;9;4800;4800;3000;3000;3000;10;6;6661,8642040255;4540;6;6;6;1;2;0;0
800239;551681;202211;1;999;5;2004;18;2;47;4;3;0;5;4;1;1;7;250;250;250;250;250;1;1;3400;2700;3;1;1;1;9;0;0
800257;530808;202211;1;999;5;2005;17;2;59;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0; ; ;4;2;2;0;10; ;0
800274;523678;202211;2;999;2;1980;42;4;48;3;1;1;1;3;1;3;1;-13; ;-13;-13; ;13;13; ; ;4;4;4;0;6;0;0
800289;539959;202211;2;999;2;1953;69;7;68;2;0;1;1;2;1;3;9;-13;1807,53890899074;1500;1500;1500;13;3;3644,33281153857;3000;2;2;2;1;3;0;0
800300;572646;202211;1;1;1;1963;59;6;59;2;0;1;1;2;1;5;1;4250;4250;2611;2611;2611;9;6;6565;4311;5;5;5;1;10;0;0
800309;573933;202211;1;999;3;1981;41;4;42;6;4;1;5;3;2;3;5;0;0;0;0;0;0;0;2050;2050;2;1;1;0;9; ;0
800329;596481;202211;1;999;1;1957;65;7;65;2;0;1;1;2;1;3;9;-13;2908,64475545139;2250;-13;2250;13;5;5279,22251279544;3900;5;5;5;0;1; ;0
800360;547378;202211;1;999;1;1952;70;7;70;2;0;1;1;2;1;3;9;-13;2615,62328486161;2050;2050;2050;13;5;3829,34836082288;3100;5;5;5;1;2;0;0
800372;590005;202211;1;999;1;1990;32;3;32;1;0;0;3;1;2;4;1;3309;3309;2655;2655;2655;7;6;3309;2655;5;4;4;1;99;0;0
800380;563251;202211;1;999;5;2003;19;2;55;4;2;1;5;3;1;3;1;1500;1500;1400;1400;1400;3;3;9216;7300;7;7;1;0;10; ;0
800392;519542;202211;1;999;1;1962;60;6;60;3;1;1;1;3;1;5;4;3294;3294;2183;2183;2183;7;5;5994;4083;4;4;4;1;9;0;0
800394;599529;202211;1;999;5;1989;33;3;71;3;1;1;5;3;1;1;1;-13;3391,22694966811;2250;-13;2250;13;5;7591,22694966811;5721;2;2;2;0;9; ;0
800405;528805;202211;1;999;5;1995;27;3;59;3;1;1;5;3;1;2;1;2400;2400;1950;1950;1950;5;4;8300;5650;7;4;4;0;2; ;0
800417;589894;202211;2;999;2;1978;44;4;42;4;2;1;1;3;1;4;1;2000;2000;1500;1500;1500;4;3;9500;5500;4;4;4;0;10; ;0
800424;504037;202211;2;999;2;1958;64;6;69;2;0;1;1;2;1;2;8;0;0;0;0;0;0;0;4840,20548426273;3500;3;3;3;0;2;0;0
800438;511346;202211;2;999;2;1955;67;7;64;2;0;1;1;2;1;2;9;2500;2500;2102;2102;2102;5;5;8500;4617;5;5;5;0;9;201;0
800440;572959;202211;2;999;3;1988;34;3;29;2;0;1;5;2;1;5;3;3700;3700;2000;2000;2000;8;4;8400;5400;5;5;5;1;99;0;0
800445;528967;202211;2;999;1;1976;46;5;46;4;2;1;1;3;1;3;1;-13; ;-14;-13; ;13;14; ; ;4;4;4;1;6;0;0
800463;598452;202211;1;999;1;1990;32;3;32;1;0;0;5;1;4;2;1;2743;2743;2205;2205;2205;6;5;2743;2205;5;4;4;1;7;101;0
800465;517791;202211;1;1;1;1965;57;6;57;3;2;0;3;4;2;2;8;-13;1835,2135527124;1330;1330;1330;13;3; ; ;4;4;4;1;10;0;0
800481;511528;202211;2;999;5;2020;1;1;36;4;2;1;5;3;1;4;14;0;0;0;0;0;0;0;7171;5208;9;9; ;1;9; ;0
800497;542214;202211;2;999;2;1943;79;7;79;2;0;1;1;2;1;4;8;1100;1100;800;800;800;3;2;2800;2200;3;3;3;1;2;0;0
800500;564401;202211;1;999;1;1952;69;7;69;2;0;1;1;2;2;4;9;1520;1520;1294;1294;1294;4;3;2349;2057;2;1;1;1;99;0;0
800501;534090;202211;2;2;1;1973;49;5;49;4;2;1;1;3;1;4;1;4346;4346;2814;2814;2814;9;6;7804,98408016033;5669;6;6;6;1;10;0;0
800543;582388;202211;1;999;5;1999;23;2;64;4;2;1;5;3;1;4;1;2500;2500;2200;2200;2200;5;5;8900;6900;3;3;3;0;1;0;0
800555;520098;202211;2;999;5;2013;9;1;43;3;2;0;5;4;1;4;14;0;0;0;0;0;0;0;5000;2900;9;9; ;1;7; ;0
800558;503402;202211;2;999;2;1953;69;7;74;2;0;1;1;2;1;4;9;-13;837,94627049917;750;-13;750;13;2;2737,94627049917;2250;2;2;2;0;2; ;0
800561;538217;202211;2;999;3;1989;33;3;40;2;0;1;5;2;1;2;1;3043;3043;2166;2166;2166;7;5;5543;4166;5;5;5;1;99;0;0
800570;548394;202211;1;999;1;1977;44;4;44;4;2;1;1;3;1;4;1;5000;5000;2750;2750;2750;10;6;5700;3450;5;5;5;1;7;0;0
800571;550755;202211;1;1;1;1934;88;7;88;2;0;1;1;2;1;4;9;2119;2119;1695;1695;1695;5;4;3119;2546;2;2;2;1;10;0;0
800575;565831;202211;2;2;1;1985;36;4;36;4;2;1;1;3;1;4;1;3608;3608;2709;2709;2709;8;6;7058;5109;6;6;6;1;10;0;0
800576;526409;202211;1;999;1;1938;84;7;84;2;0;1;1;2;1;3;9;-13;4048,25646805204;3000;3000;3000;13;6;7426,37569896042;5600;5;5;5;0;3;0;0
800585;502426;202211;2;999;1;1964;58;6;58;2;1;0;5;4;1;2;3;-13; ;-13;-13; ;13;13; ; ;7;7;1;0;2;0;0
800587;547666;202211;2;999;2;1993;29;3;29;5;0;1;1;2;2;2;1;-13;3391,22694966811;2250;-13;2250;13;5;15819,7947624162;10900;3;2;2;0;10; ;0
800611;569111;202211;1;1;2;1982;40;4;39;4;1;1;1;3;1;5;1;-13;3833,60094016172;2500;2500;2500;13;5; ; ;3;3;3;1;10;101;0
800633;530682;202211;2;999;5;2021;1;1;46;7;5;1;5;3;1;4;14;0;0;0;0;0;0;0;7727;5188;9;9; ;1;9; ;0
800651;543468;202211;1;999;1;1990;32;3;32;6;0;0;5;5;1;1;1;-13;4354,47730883071;2750;-13;2750;13;6;11884,4207647945;8450;6;6;6;0;9; ;0
800659;537734;202211;1;999;1;1940;82;7;82;2;0;1;1;2;1;5;9;2400;2400;2000;2000;2000;5;4;3250;2800;3;3;3;1;1;0;0
800671;568484;202211;1;999;1;1952;70;7;70;2;0;1;1;2;1;3;9;-13;2908,64475545139;2250;2250;2250;13;5;3807,95300348722;3050;4;4;4;1;2;0;0
800674;556823;202211;1;999;1;1956;66;7;66;2;0;0;2;5;1;1;1;-13;3289,81825396638;2450;2450;2450;13;5;6007,35575944245;4600;6;5;5;1;2; ;0
800677;529798;202211;1;999;1;1997;25;3;25;1;0;0;5;1;2;1;7;1500;1500;1400;1400;1400;3;3;1500;1400;6;6;6;1;99;0;0
800691;530365;202211;1;1;1;1963;59;6;59;2;0;1;1;2;1;5;1;2183;2183;1704;1704;1704;5;4;4658;3588;2;2;2;1;10;0;0
800695;545089;202211;2;999;1;1941;81;7;81;1;0;0;4;1;2;1;9;-13;1792,80395594757;1468;1468;1468;13;3;1792,80395594757;1468;2;2;2;1;2;0;1
800697;531983;202211;1;1;5;1997;25;3;60;6;4;1;5;3;1;1;13;0;0;0;0;0;0;0;11900;8200;3;3;3;1;10;0;0
800701;596902;202211;2;999;2;1979;43;4;49;2;0;1;1;2;1;3;1;5754;5754;3822;3822;3822;11;8;12027,6079254912;7572;6;6;6;1;6;0;0
800714;530316;202211;2;999;1;1979;43;4;43;1;0;0;5;1;1;2;1;4930;4930;3250;3250;3250;10;7;4930;3250;5;5;5;1;8;0;0
800722;582529;202211;1;999;1;1984;38;4;38;2;0;1;5;2;2;2;1;-13;2577,4142108627;1750;-13;1750;13;4;4514,4142108627;3403;2;2;2;0;9; ;0
800731;589323;202211;1;1;1;1951;71;7;71;2;0;1;1;2;1;4;9;-13;1631,95893885335;1350;1350;1350;13;3;2643,03993636926;2240;2;2;2;1;10;0;0
800750;536340;202211;2;999;2;1962;60;6;63;2;0;1;1;2;1;4;1;2600;2600;2200;2200;2200;6;5;8972,81394040167;6000;6;6;6;1;2;0;0
800762;500531;202211;2;999;2;1971;51;5;53;5;3;1;1;3;1;4;1;3000;3000;2000;2000;2000;6;4;11500;7500;5;5;5;1;2;0;0
800771;553328;202211;2;999;1;1969;53;5;53;2;0;1;3;2;2;2;3;4500;4500;3000;3000;3000;9;6;7500;6000;5;5;5;1;9;0;0
800775;542581;202211;1;999;1;1969;53;5;53;5;3;1;4;3;1;5;1;4953;4953;2900;2900;2900;10;6;7984;5256;6;6;6;1;6;0;0
800778;511151;202211;2;999;1;1960;62;6;62;1;0;0;3;1;2;3;1;1897;1897;1750;-13;1750;4;4;1897;1750;5;5;5;1;6;0;0
800789;560556;202211;2;2;3;1980;42;4;42;7;5;1;5;3;1;4;1;2800;2800;2250;2250;2250;6;5;6596,92249981296;4750;3;3;3;1;10;0;0
800829;518762;202211;2;2;5;2004;17;2;51;4;3;0;5;4;1;2;7;250;250;250;250;250;1;1;14500;8200;3;3;3;1;10;0;0
800840;515943;202211;2;999;2;1959;63;6;68;2;0;1;1;2;2;4;8;0;0;0;0;0;0;0;2500;1652;2;2;2;0;9; ;0
800845;501074;202211;1;999;5;2011;11;1;43;7;5;1;5;3;1;1;7;0;0;0;0;0;0;0;5000;3015;1;8;1;1;3; ;0
800848;509775;202211;1;999;1;1986;35;4;35;1;0;0;5;1;9;4;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;99;0;0
800859;550374;202211;1;999;1;1990;31;3;31;2;0;1;5;2;1;1;1;5500;5500;3700;3700;3700;11;8;10700;7200;6;6;6;1;9;0;0
800869;587496;202211;1;999;1;1955;67;7;67;2;0;1;1;2;1;3;9;-13; ;-13;-13; ;13;13; ; ;2;2;2;1;2;0;0
800881;543600;202211;1;999;1;1940;82;7;82;1;0;0;4;1;2;4;9;2100;2100;1689;1689;1689;5;4;2100;1689;2;2;2;1;2;0;0
800894;547476;202211;2;999;1;1948;74;7;74;1;0;0;4;1;2;2;9;1200;1200;1000;1000;1000;3;2;1200;1000;2;2;2;1;2;102;1
800900;539182;202211;2;999;1;1995;27;3;27;1;0;0;5;1;2;1;1;-13;3535,25006417101;2300;2300;2300;13;5;3535,25006417101;2300;6;5;5;1;99;0;0
800903;594616;202211;1;999;1;1971;51;5;51;5;3;1;1;3;1;2;1;4590;4590;2800;2800;2800;10;6;4590;2800;5;5;5;1;2;0;0
800909;512649;202211;2;999;2;1978;44;4;44;4;2;1;1;3;1;4;1;2767;2767;2300;2300;2300;6;5;9967;7050;5;5;5;1;1;0;0
800915;513195;202211;1;999;5;2016;6;1;44;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;8600;5569;1;8;1;1;6; ;0
800930;575732;202211;1;999;5;1992;30;3;59;4;2;1;5;3;1;3;1;-13; ;-14;-13; ;13;14; ; ;5;3;3;1;2;0;0
800940;578987;202211;2;999;5;2006;16;2;46;4;2;1;5;3;1;5;7;-13; ; ;-13; ;13; ; ; ;3;8;1;1;10; ;0
800985;521520;202211;1;999;5;2005;17;2;49;5;3;1;5;3;1;5;7;0;0;0;0;0;0;0;5658,78097594157;4250;5;3;3;1;6;0;0
800988;515182;202211;2;999;1;1968;54;5;54;3;2;0;3;4;1;4;10;-13;1725,8248573773;1260;1260;1260;13;3;7482,96572528407;5160;4;4;4;1;7;201;0
800994;579544;202211;1;999;1;1950;71;7;71;1;0;0;3;1;1;4;9;-13;2399,15237840235;1900;1900;1900;13;4;2399,15237840235;1900;4;4;4;1;2;0;0
801000;581948;202211;2;999;5;2005;17;2;46;3;2;0;5;4;1;2;7;0;0;0;0;0;0;0;2200;1800;3;1;1;1;7;0;0
801004;512380;202211;1;999;1;1961;61;6;61;1;0;0;3;1;1;4;1;3850;3850;2850;2850;2850;8;6;3850;2850;2;2;2;1;2;0;0
801011;541976;202211;1;1;1;1958;64;6;64;1;0;0;5;1;1;1;4;1625;1625;1625;1625;1625;4;4;1625;1625;6;5;5;1;10;0;0
801012;502296;202211;1;1;1;1954;68;7;68;2;0;1;1;2;1;5;1;7500;7500;3200;3200;3200;11;7;8778,02613731045;4300;6;5;5;1;10;0;0
801022;573114;202211;1;999;1;1947;75;7;75;2;0;1;1;2;1;4;9;-13;2185,64654402031;1750;-13;1750;13;4;3285,64654402031;2500;4;4;4;0;1;0;0
801031;583963;202211;1;999;1;1972;50;5;50;4;2;1;1;3;1;2;1;-13;5782,02352430825;3500;3500;3500;13;7;13860,9076535466;8985;4;4;4;1;2;0;0
801047;532432;202211;2;2;1;1953;69;7;69;1;0;0;3;1;1;1;9;5000;5000;2400;2400;2400;10;5;5000;2400;6;6;6;1;10;201;0
801050;569946;202211;1;1;1;1977;45;5;45;1;0;0;3;1;1;2;1;7000;7000;4000;4000;4000;11;8;7000;4000;6;5;5;1;10;0;0
801055;515383;202211;2;999;3;1963;59;6;54;2;0;1;5;2;1;1;3;-13;4625,03836967928;3000;3000;3000;13;6;9827,26814100836;6200;4;4;4;1;2;201;0
801060;537627;202211;1;999;5;2013;9;1;56;5;3;1;5;3;1;2;7;0;0;0;0;0;0;0;2250;1940;1;8;1;1;10; ;0
801066;558805;202211;1;999;5;2006;16;2;46;3;2;0;5;4;1;4;7;0;0;0;0;0;0;0;5200;3450;2;8;1;1;10; ;0
801068;502505;202211;2;999;2;1976;46;5;47;4;2;1;1;3;1;4;1;-13;3391,22694966811;2250;-13;2250;13;5; ; ;5;5;5;1;2;0;0
801086;599945;202211;2;999;5;2010;12;1;43;4;2;1;5;3;1;2;7;-13; ; ;-13; ;13; ; ; ;9;9; ;1;3; ;0
801089;577102;202211;2;999;2;1971;51;5;54;2;0;1;1;2;1;4;8;0;0;0;0;0;0;0;8012;4500;3;3;3;0;2;0;0
801092;538812;202211;1;999;5;2008;14;1;43;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;4923,07534419402;3368;2;8;1;1;8; ;0
801107;554714;202211;1;999;5;2010;12;1;39;5;3;1;5;3;1;3;7;0;0;0;0;0;0;0;7800;4700;1;8;1;1;3; ;0
801132;565264;202211;2;999;2;1954;68;7;70;2;0;1;1;2;2;3;9;-13;1149,87873096375;1000;1000;1000;13;2;2580,61249926903;2200;4;4;4;1;6;0;0
801144;592770;202211;1;999;1;1967;54;5;54;1;0;0;5;1;1;2;1;5297;5297;3394;3394;3394;11;7;5297;3394;6;6;6;1;2;102;0
801165;519534;202211;2;999;1;1942;80;7;80;1;0;0;4;1;2;1;9;-13;1631,95893885335;1350;1350;1350;13;3;1631,95893885335;1350;3;3;3;1;3;0;0
801174;526055;202211;2;999;1;1950;71;7;71;2;0;1;4;2;1;1;9;-13;2185,64654402031;1750;1750;1750;13;4;3515,4330026562;2890;2;2;2;1;2;0;0
801205;575360;202211;1;999;1;1955;67;7;67;2;0;1;1;2;1;1;9;5000;5000;3000;3000;3000;10;6;7000;4000;6;6;6;1;7;101;0
801211;548083;202211;1;999;1;1977;45;5;45;4;2;1;1;3;1;2;1;-13;3535,25006417101;2300;2300;2300;13;5;6493,83284483839;4300;5;4;4;1;7;102;0
801214;560919;202211;1;999;1;1959;63;6;63;2;0;1;1;2;1;2;1;5700;5700;3550;3550;3550;11;8;6005;3840;5;5;5;1;8;0;0
801216;579268;202211;1;1;1;1977;45;5;45;1;0;0;5;1;1;3;1;-13;3624,77630825187;2350;2350;2350;13;5;3624,77630825187;2350;4;4;4;1;10;0;0
801221;594366;202211;2;999;2;1984;38;4;41;3;1;1;1;3;1;2;1;-13;972,659156364994;750;-13;750;13;2; ; ;4;4;4;0;10; ;0
801229;559695;202211;1;999;1;1957;65;7;65;3;1;1;1;3;1;4;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;2;0;0
801245;533007;202211;1;999;5;1999;23;2;57;5;3;1;5;3;1;4;1;0;0;0;0;0;0;0;4628,07765797896;3000;6;3;3;1;6;0;0
801257;552076;202211;2;999;1;1992;30;3;30;2;1;0;3;4;2;1;1;-13;3446,11391341185;2250;-13;2250;13;5;3446,11391341185;2250;4;4;4;1;99;0;0
801261;518530;202211;1;999;5;2018;4;1;30;4;2;1;5;3;1;1;14;0;0;0;0;0;0;0;5722;4700;9;9; ;1;99; ;0
801266;556906;202211;2;999;5;1991;31;3;60;4;2;1;1;3;1;4;1;-13; ;-13;-13; ;13;13; ; ;5;5;5;0;2;0;0
801268;515841;202211;1;1;1;1964;58;6;58;3;1;1;1;3;2;1;3;-13;4153,98371603206;2700;2700;2700;13;6;6773,91880187746;4500;5;5;5;1;10;0;0
801272;506631;202211;2;999;2;1971;51;5;55;3;1;1;1;3;1;3;8;1200;1200;1050;1050;1050;3;3;11100;6650;2;2;2;0;7;0;0
801278;539883;202211;1;999;1;1947;75;7;75;2;0;1;1;2;1;1;8;-13;1497,39318578535;1250;-13;1250;13;3;2970,93708290429;2500;2;2;2;1;9;102;0
801287;581710;202211;2;999;1;1956;66;7;66;2;0;0;4;5;1;2;1;6000;6000;3500;3500;3500;11;7;6000;3500;3;3;3;1;2;0;0
801300;502993;202211;1;999;1;1969;53;5;53;4;2;1;1;3;1;3;1;15000;15000;9000;9000;9000;12;12;15800;9750;6;6;6;1;2;0;0
801330;549951;202211;2;999;2;1942;80;7;82;2;0;1;1;2;2;2;9;1600;1600;1350;1350;1350;4;3;4850;3750;4;4;4;1;6;0;0
801361;508010;202211;2;999;1;1972;50;5;50;5;3;1;1;3;1;4;1;3000;3000;1700;1700;1700;6;4;6500;3500;5;5;5;1;7;0;0
801372;596226;202211;1;999;1;1988;34;3;34;2;0;1;5;2;1;2;1;4100;4100;2700;2700;2700;9;6;7200;4800;6;5;5;1;9;0;0
801380;502371;202211;1;999;1;1952;70;7;70;2;0;1;1;2;1;5;9;1500;1500;1400;1400;1400;3;3;2150;2000;2;2;2;0;10; ;0
801386;575621;202211;2;2;1;1980;42;4;42;2;1;0;5;4;2;4;8;-13;1383,06931378164;1036;1036;1036;13;3;1383,06931378164;1036;3;3;3;1;10;201;0
801388;557397;202211;2;999;5;1996;26;3;51;5;3;1;5;3;1;5;7;-13;2472,08557150186;1750;-13;1750;13;4;12121,4558598697;8470;6;5;5;1;2;0;0
801395;569111;202211;2;999;3;2007;14;1;39;4;1;1;5;3;1;5;7;-13; ;-14;-13; ;13;14; ; ;3;8;1;1;10; ;0
801409;515118;202211;2;999;2;1957;65;7;66;2;0;1;1;2;1;2;3;2000;2000;1250;-13;1250;4;3;6000;3500;2;2;2;0;8; ;0
801412;552243;202211;2;999;2;1966;56;6;59;3;1;1;1;3;1;4;1;2983;2983;2161;2161;2161;6;5;12473;8302;5;5;5;1;2;0;0
801428;575070;202211;1;999;1;1963;59;6;59;4;2;1;1;3;1;5;1;-13;8625,41469079949;4900;4900;4900;13;10; ; ;6;3;3;0;2;0;0
801452;505813;202211;1;999;5;1993;28;3;64;3;1;1;5;3;1;3;1;-13; ;-13;-13; ;13;13; ; ;5;5;5;1;2;0;0
801453;500094;202211;2;2;1;1970;52;5;52;2;0;1;1;2;1;1;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;10;0;0
801459;588592;202211;2;999;3;1994;28;3;29;2;0;1;5;2;1;1;1;2150;2150;1750;-13;1750;5;4;5770;4090;4;4;4;0;10; ;0
801467;534283;202211;1;999;1;1948;73;7;73;1;0;0;4;1;1;5;9;4000;4000;2500;2500;2500;8;5;4000;2500;4;4;4;1;6;0;0
801470;523336;202211;2;999;1;1969;53;5;53;4;2;1;1;3;1;2;1;5112;5112;3000;3000;3000;11;6; ; ;6;6;6;1;1;0;0
801477;575454;202211;2;999;5;2003;19;2;47;6;4;1;5;3;1;3;7;0;0;-13;-13;0;0;13;6800;4000;5;3;3;0;8;0;0
801480;504763;202211;2;999;2;1967;55;6;52;5;3;1;1;3;1;2;1;2375;2375;1505;1505;1505;5;4;6575;4305;3;3;3;1;3;0;0
801482;573560;202211;1;1;1;1988;34;3;34;2;0;1;1;2;2;3;1;-13;2577,4142108627;1750;-13;1750;13;4;5113,77741647753;3500;6;6;6;1;10;202;0
801486;508370;202211;2;999;2;1973;49;5;50;4;2;1;1;3;1;2;1;-13;3082,14853898983;2072;2072;2072;13;5; ; ;4;4;4;1;2;0;0
801498;540438;202211;1;999;1;1947;75;7;75;3;1;1;1;3;1;4;9;-13;2543,1450561878;2000;2000;2000;13;4;5856,6405178568;4450;4;4;4;1;1;0;0
801535;530313;202211;1;999;5;1995;27;3;62;3;2;0;5;4;2;2;4;0;0;0;0;0;0;0;4706;2897;6;6;6;0;99;0;0
801542;562148;202211;1;999;1;1992;30;3;30;3;1;1;5;3;1;5;1;-13;3446,11391341185;2250;-13;2250;13;5;5172,91878092367;3500;4;4;4;1;9;0;0
801545;599518;202211;2;999;5;2002;20;2;56;5;3;1;5;3;1;4;1;2100;2100;1800;1800;1800;5;4;9050;7780;4;4;4;0;10; ;0
801547;526760;202211;1;1;5;2006;16;2;52;5;3;1;5;3;1;3;7;0;0;0;0;0;0;0;5489,22181140925;3450;4;2;2;1;2;0;0
801550;559347;202211;1;999;1;1974;48;5;48;5;3;1;1;3;1;4;10;1900;1900;1500;1500;1500;4;3;8200;6300;4;4;4;1;3; ;0
801556;581317;202211;1;999;1;1933;89;7;89;2;0;1;1;2;1;2;8;-13;993,194064824644;863;863;863;13;2;1970,56932388829;1726;1;1;1;1;2;0;1
801559;591995;202211;2;999;2;1970;52;5;52;3;1;1;1;3;1;2;8;0;0;0;0;0;0;0;4523;3250;4;4;4;1;7;0;0
801564;555477;202211;1;999;5;2003;19;2;48;4;3;0;5;4;1;2;1;580;580;500;500;500;2;1;4136;3059;2;1;1;0;10; ;0
801568;518542;202211;1;999;1;1955;67;7;67;2;0;1;1;2;1;1;9;5500;5500;3500;3500;3500;11;7;7500;5100;6;6;6;1;7;0;0
801570;526616;202211;1;999;1;1989;33;3;33;1;0;0;5;1;2;1;1;2790;2790;2172;2172;2172;6;5;2790;2172;5;4;4;1;9;0;0
801574;512081;202211;2;999;5;1983;39;4;76;3;1;1;5;3;1;4;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;2;0;0
801577;543927;202211;1;999;1;1970;52;5;52;4;2;1;1;3;1;3;1;-13;3006,46740420496;2000;2000;2000;13;4;10331,010105819;6800;2;2;2;1;2;0;0
801580;525558;202211;1;999;5;1992;30;3;67;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;4616;3266;3;8;1;0;2; ;0
