nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
808738;520479;202211;2;2;2;1983;39;4;40;4;2;1;1;3;1;3;8;1606;1606;1500;1500;1500;4;3;4506;3800;4;4;4;1;10;0;0
808743;528771;202211;1;999;1;1946;76;7;76;2;0;1;1;2;1;1;9;0;0;0;0;0;0;0;0;0;5;5;5;1;2;0;0
808746;514234;202211;2;2;2;1980;42;4;41;4;2;1;1;3;1;5;2;-13; ;-13;-13; ;13;13; ; ;5;5;5;1;10;0;0
808758;554568;202211;1;999;1;1969;53;5;53;1;0;0;5;1;1;5;1;2620;2620;2125;2125;2125;6;5;2620;2125;4;4;4;1;2;0;0
808761;503842;202211;1;999;1;1956;66;7;66;2;0;1;1;2;1;2;9;4819;4819;2855;2855;2855;10;6;6085;3985;5;5;5;0;3; ;0
808767;578158;202211;2;999;1;1968;53;5;53;2;1;0;3;4;1;2;1;-13;3986,68723094316;2550;2550;2550;13;6;5534,63928438927;3685;5;5;5;1;7;0;0
808768;596443;202211;1;1;2;1985;37;4;36;3;1;1;1;3;1;4;8;0;0;0;0;0;0;0;5026,7183788127;3108;3;1;1;1;10;0;0
808779;552291;202211;1;999;1;1974;48;5;48;2;0;0;3;5;1;1;1;-13; ;-13;-13; ;13;13; ; ;5;5;5;1;6;0;0
808786;595843;202211;1;999;1;1943;79;7;79;1;0;0;3;1;2;2;9;2868;2868;2020;2020;2020;6;5;2868;2020;6;6;6;1;6;0;0
808789;546560;202211;2;999;2;1968;53;5;57;2;0;1;1;2;1;5;10;-13; ;-13;-13; ;13;13; ; ;5;5;5;1;8;0;0
808794;563134;202211;2;999;3;1956;66;7;66;3;0;1;3;2;1;2;6;-13;2833,26703032124;2230;2230;2230;13;5;4441,20238266987;3683;5;5;5;1;2;0;0
808798;531234;202211;1;999;1;1982;40;4;40;1;0;0;5;1;1;1;1;-13; ;-14;-13; ;13;14; ; ;6;5;5;1;2;201;0
808801;523901;202211;2;999;2;1953;69;7;70;2;0;1;1;2;1;2;9;-13;1473,54389711893;1250;-13;1250;13;3;3659,19044113925;3000;5;5;5;1;2;0;0
